field_name,strategy,left,left_delta,top,top_delta,right,right_delta,bottom,bottom_delta,page,regex
conferences_conventions_total,words,Total expenses,-0.005,"Part IX, Item 19",-0.001,Program service expenses,0,"Part IX, Item 20",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
conferences_conventions_prog_service,words,Program service expenses,-0.005,"Part IX, Item 19",-0.001,Management and general expenses,0,"Part IX, Item 20",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
conferences_conventions_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 19",-0.001,Fundraising expenses,0,"Part IX, Item 20",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
conferences_conventions_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 19",-0.001,Bottom Right Corner,0,"Part IX, Item 20",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
interest_general,words,Total expenses,-0.005,"Part IX, Item 20",-0.001,Program service expenses,0,"Part IX, Item 21",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
interest_prog_service,words,Program service expenses,-0.005,"Part IX, Item 20",-0.001,Management and general expenses,0,"Part IX, Item 21",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
interest_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 20",-0.001,Fundraising expenses,0,"Part IX, Item 21",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
interest_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 20",-0.001,Bottom Right Corner,0,"Part IX, Item 21",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
payments_affiliates_total,words,Total expenses,-0.005,"Part IX, Item 21",-0.001,Program service expenses,0,"Part IX, Item 22",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
payments_affiliates_prog_service,words,Program service expenses,-0.005,"Part IX, Item 21",-0.001,Management and general expenses,0,"Part IX, Item 22",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
payments_affiliates_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 21",-0.001,Fundraising expenses,0,"Part IX, Item 22",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
payments_affiliates_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 21",-0.001,Bottom Right Corner,0,"Part IX, Item 22",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
depreciation_depletion_amortization_total,words,Total expenses,-0.005,"Part IX, Item 22",-0.001,Program service expenses,0,"Part IX, Item 23",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
depreciation_depletion_amortization_prog_service,words,Program service expenses,-0.005,"Part IX, Item 22",-0.001,Management and general expenses,0,"Part IX, Item 23",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
depreciation_depletion_amortization_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 22",-0.001,Fundraising expenses,0,"Part IX, Item 23",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
depreciation_depletion_amortization_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 22",-0.001,Bottom Right Corner,0,"Part IX, Item 23",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
insurance_total,words,Total expenses,-0.005,"Part IX, Item 23",-0.001,Program service expenses,0,"Part IX, Item 24a",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
insurance_prog_service,words,Program service expenses,-0.005,"Part IX, Item 23",-0.001,Management and general expenses,0,"Part IX, Item 24a",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
insurance_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 23",-0.001,Fundraising expenses,0,"Part IX, Item 24a",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
insurance_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 23",-0.001,Bottom Right Corner,0,"Part IX, Item 24a",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_a_label,words,"Part IX, Item 24a",-0.005,"Part IX, Item 24a",-0.001,Total expenses,0,"Part IX, Item 24b",-0.005,Page 10,a?\s*(.+)
other_expenses_a_total,words,Total expenses,-0.005,"Part IX, Item 24a",-0.001,Program service expenses,0,"Part IX, Item 24b",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_a_prog_service,words,Program service expenses,-0.005,"Part IX, Item 24a",-0.001,Management and general expenses,0,"Part IX, Item 24b",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_a_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 24a",-0.001,Fundraising expenses,0,"Part IX, Item 24b",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_a_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 24a",-0.001,Bottom Right Corner,0,"Part IX, Item 24b",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_b_label,words,"Part IX, Item 24b",-0.005,"Part IX, Item 24b",-0.001,Total expenses,0,"Part IX, Item 24c",-0.005,Page 10,b?\s*(.+)
other_expenses_b_total,words,Total expenses,-0.005,"Part IX, Item 24b",-0.001,Program service expenses,0,"Part IX, Item 24c",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_b_prog_service,words,Program service expenses,-0.005,"Part IX, Item 24b",-0.001,Management and general expenses,0,"Part IX, Item 24c",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_b_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 24b",-0.001,Fundraising expenses,0,"Part IX, Item 24c",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_b_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 24b",-0.001,Bottom Right Corner,0,"Part IX, Item 24c",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_c_label,words,"Part IX, Item 24c",-0.005,"Part IX, Item 24c",-0.001,Total expenses,0,"Part IX, Item 24d",-0.005,Page 10,c?\s*(.+)
other_expenses_c_total,words,Total expenses,-0.005,"Part IX, Item 24c",-0.001,Program service expenses,0,"Part IX, Item 24d",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_c_prog_service,words,Program service expenses,-0.005,"Part IX, Item 24c",-0.001,Management and general expenses,0,"Part IX, Item 24d",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_c_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 24c",-0.001,Fundraising expenses,0,"Part IX, Item 24d",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_c_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 24c",-0.001,Bottom Right Corner,0,"Part IX, Item 24d",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_d_label,words,"Part IX, Item 24d",-0.005,"Part IX, Item 24d",-0.001,Total expenses,0,"Part IX, Item 24e",-0.005,Page 10,d?\s*(.+)
other_expenses_d_total,words,Total expenses,-0.005,"Part IX, Item 24d",-0.001,Program service expenses,0,"Part IX, Item 24e",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_d_prog_service,words,Program service expenses,-0.005,"Part IX, Item 24d",-0.001,Management and general expenses,0,"Part IX, Item 24e",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_d_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 24d",-0.001,Fundraising expenses,0,"Part IX, Item 24e",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
other_expenses_d_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 24d",-0.001,Bottom Right Corner,0,"Part IX, Item 24e",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
all_other_expenses_total,words,Total expenses,-0.005,"Part IX, Item 24e",-0.001,Program service expenses,0,"Part IX, Item 25",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
all_other_expenses_prog_service,words,Program service expenses,-0.005,"Part IX, Item 24e",-0.001,Management and general expenses,0,"Part IX, Item 25",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
all_other_expenses_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 24e",-0.001,Fundraising expenses,0,"Part IX, Item 25",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
all_other_expenses_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 24e",-0.001,Bottom Right Corner,0,"Part IX, Item 25",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
total_functional_expenses_total,words,Total expenses,-0.005,"Part IX, Item 25",-0.001,Program service expenses,0,"Part IX, Item 26",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
total_functional_expenses_prog_service,words,Program service expenses,-0.005,"Part IX, Item 25",-0.001,Management and general expenses,0,"Part IX, Item 26",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
total_functional_expenses_mgmt_general,words,Management and general expenses,-0.005,"Part IX, Item 25",-0.001,Fundraising expenses,0,"Part IX, Item 26",-0.005,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
total_functional_expense_fundraising,words,Fundraising expenses,-0.005,"Part IX, Item 25",-0.001,Bottom Right Corner,0,"Part IX, Item 26",-0.001,Page 10,"(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
activities_per_region_subtotal_number_of_offices,words,(b) Number of offices,0,"Schedule F, Part I, Item 3a",-0.001,(c) Number of employees,0,"Schedule F, Part I, Item 3b",-0.001,"Schedule F, Page 1","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
activities_per_region_subtotal_number_of_employees,words,(c) Number of employees,0,"Schedule F, Part I, Item 3a",-0.001,(d) Activities conducted,0,"Schedule F, Part I, Item 3b",-0.001,"Schedule F, Page 1","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
activities_per_region_subtotal_total_expenditure,words,(f) Total expenditures,0,"Schedule F, Part I, Item 3a",-0.001,Bottom Right Corner,0,"Schedule F, Part I, Item 3b",-0.001,"Schedule F, Page 1","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
activities_per_region_continuation_total_number_of_offices,words,(b) Number of offices,0,"Schedule F, Part I, Item 3b",0.001,(c) Number of employees,0,"Schedule F, Part I, Item 3c",-0.001,"Schedule F, Page 1","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
activities_per_region_continuation_total_number_of_employees,words,(c) Number of employees,0,"Schedule F, Part I, Item 3b",0.001,(d) Activities conducted,0,"Schedule F, Part I, Item 3c",-0.001,"Schedule F, Page 1","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
activities_per_region_continuation_total_total_expenditure,words,(f) Total expenditures,0,"Schedule F, Part I, Item 3b",0.001,Bottom Right Corner,0,"Schedule F, Part I, Item 3c",-0.001,"Schedule F, Page 1","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
activities_per_region_totals_number_of_offices,words,(b) Number of offices,0,"Schedule F, Part I, Item 3c",-0.001,(c) Number of employees,0,"Schedule F, Part I, Item 3c",0.1,"Schedule F, Page 1","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
activities_per_region_totals_number_of_employees,words,(c) Number of employees,0,"Schedule F, Part I, Item 3c",-0.001,(d) Activities conducted,0,"Schedule F, Part I, Item 3c",0.1,"Schedule F, Page 1","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
activities_per_region_totals_total_expenditure,words,(f) Total expenditures,0,"Schedule F, Part I, Item 3c",-0.001,Bottom Right Corner,0,"Schedule F, Part I, Item 3c",0.1,"Schedule F, Page 1","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
total_number_recipient_foreign_orgs_listed_as_charities,words,(h) Description of noncash assistance,-0.005,"Schedule F, Part II, Item 2",0,Bottom Right Corner,0,"Schedule F, Part II, Item 3",-0.001,"Schedule F, Page 2","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
total_number_other_recipient_foreign_orgs_entities,words,(h) Description of noncash assistance,-0.005,"Schedule F, Part II, Item 3",0,Bottom Right Corner,0,"Schedule F, Part II, Item 3",0.01,"Schedule F, Page 2","(-?\(?\d+[\d.,]*\)?|\b[oOIl]\b)"
